Model,Parameters,test_acc,train_acc,test_bal_acc,train_bal_acc,test_f1_macro,train_f1_macro,test_f1_weighted,train_f1_weighted,test_prec_macro,train_prec_macro,test_rec_macro,train_rec_macro,test_specificity_weighted,train_specificity_weighted,test_g_mean,train_g_mean
SVC,2 Classes S vs IW / Normal / No Scaler / Unbalanced / Feature Selection,0.7431,0.7531,0.4936,0.5021,0.4263,0.4349,0.6418,0.6492,0.3751,0.4934,0.4936,0.5021,0.2441,0.2511,0.3471,0.3551
SVC,2 Classes S vs IW / Normal / No Scaler / SMOTE / Feature Selection,0.5714,0.6267,0.5530,0.6266,0.5238,0.5850,0.5994,0.6513,0.5406,0.5962,0.5530,0.6266,0.5346,0.6265,0.5437,0.6265
SVC,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler / Feature Selection,0.5810,0.6291,0.5725,0.6217,0.5374,0.5841,0.6086,0.6532,0.5550,0.5928,0.5725,0.6217,0.5639,0.6142,0.5681,0.6179
SVC,2 Classes S vs IW / Normal / StandardScaler / Unbalanced / Feature Selection,0.7431,0.7531,0.4936,0.5021,0.4263,0.4349,0.6418,0.6492,0.3751,0.4934,0.4936,0.5021,0.2441,0.2511,0.3471,0.3551
SVC,2 Classes S vs IW / Normal / StandardScaler / SMOTE / Feature Selection,0.5755,0.6250,0.5632,0.6231,0.5294,0.5826,0.6024,0.6497,0.5484,0.5935,0.5632,0.6231,0.5509,0.6213,0.5567,0.6222
SVC,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.5796,0.6288,0.5716,0.6214,0.5363,0.5838,0.6075,0.6529,0.5542,0.5926,0.5716,0.6214,0.5635,0.6141,0.5674,0.6178
SVC,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.7458,0.7531,0.4954,0.5012,0.4272,0.4322,0.6431,0.6480,0.3755,0.4433,0.4954,0.5012,0.2450,0.2492,0.3484,0.3534
SVC,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE / Feature Selection,0.5659,0.6260,0.5643,0.6275,0.5255,0.5851,0.5947,0.6509,0.5484,0.5965,0.5643,0.6275,0.5627,0.6291,0.5633,0.6283
SVC,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.5796,0.6339,0.5734,0.6281,0.5365,0.5893,0.6075,0.6576,0.5554,0.5978,0.5734,0.6281,0.5673,0.6223,0.5702,0.6252
SVC,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.7431,0.7531,0.4936,0.5021,0.4263,0.4349,0.6418,0.6492,0.3751,0.4934,0.4936,0.5021,0.2441,0.2511,0.3471,0.3551
SVC,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.5714,0.6267,0.5530,0.6266,0.5238,0.5850,0.5994,0.6513,0.5406,0.5962,0.5530,0.6266,0.5346,0.6265,0.5437,0.6265
SVC,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.5810,0.6291,0.5725,0.6217,0.5374,0.5841,0.6086,0.6532,0.5550,0.5928,0.5725,0.6217,0.5639,0.6142,0.5681,0.6179
SVC,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.7431,0.7531,0.4936,0.5021,0.4263,0.4349,0.6418,0.6492,0.3751,0.4934,0.4936,0.5021,0.2441,0.2511,0.3471,0.3551
SVC,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.5755,0.6250,0.5632,0.6231,0.5294,0.5826,0.6024,0.6497,0.5484,0.5935,0.5632,0.6231,0.5509,0.6213,0.5567,0.6222
SVC,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.5796,0.6288,0.5716,0.6214,0.5363,0.5838,0.6075,0.6529,0.5542,0.5926,0.5716,0.6214,0.5635,0.6141,0.5674,0.6178
SVC,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.7458,0.7531,0.4954,0.5012,0.4272,0.4322,0.6431,0.6480,0.3755,0.4433,0.4954,0.5012,0.2450,0.2492,0.3484,0.3534
SVC,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.5659,0.6260,0.5643,0.6275,0.5255,0.5851,0.5947,0.6509,0.5484,0.5965,0.5643,0.6275,0.5627,0.6291,0.5633,0.6283
SVC,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.5796,0.6339,0.5734,0.6281,0.5365,0.5893,0.6075,0.6576,0.5554,0.5978,0.5734,0.6281,0.5673,0.6223,0.5702,0.6252
GaussianNB,3 Classes / Normal / No Scaler / Unbalanced,0.3900,0.4588,0.3631,0.4335,0.3211,0.4005,0.3393,0.4183,0.3690,0.4911,0.3631,0.4335,0.6611,0.6990,0.4896,0.5505
GaussianNB,3 Classes / Normal / StandardScaler / Unbalanced,0.3818,0.4334,0.3574,0.4112,0.2922,0.3523,0.3076,0.3664,0.3517,0.5012,0.3574,0.4112,0.6604,0.6887,0.4854,0.5321
GaussianNB,3 Classes / Normal / MinMaxScaler / Unbalanced,0.3790,0.4310,0.3544,0.4091,0.2868,0.3465,0.3026,0.3597,0.3443,0.5137,0.3544,0.4091,0.6591,0.6873,0.4829,0.5302
GaussianNB,3 Classes / Feature Engineering / No Scaler / Unbalanced,0.3900,0.4588,0.3631,0.4335,0.3211,0.4005,0.3393,0.4183,0.3690,0.4911,0.3631,0.4335,0.6611,0.6990,0.4896,0.5505
GaussianNB,3 Classes / Feature Engineering / StandardScaler / Unbalanced,0.3818,0.4334,0.3574,0.4112,0.2922,0.3523,0.3076,0.3664,0.3517,0.5012,0.3574,0.4112,0.6604,0.6887,0.4854,0.5321
GaussianNB,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced,0.3790,0.4310,0.3544,0.4091,0.2868,0.3465,0.3026,0.3597,0.3443,0.5137,0.3544,0.4091,0.6591,0.6873,0.4829,0.5302
GaussianNB,2 Classes IS vs W / Normal / No Scaler / Unbalanced,0.5453,0.5986,0.5292,0.5852,0.4909,0.5449,0.5163,0.5686,0.5505,0.6207,0.5292,0.5852,0.5131,0.5719,0.5197,0.5771
GaussianNB,2 Classes IS vs W / Normal / No Scaler / SMOTE,0.5247,0.5536,0.5542,0.5859,0.5008,0.5326,0.5024,0.5344,0.5506,0.5950,0.5542,0.5859,0.5836,0.6183,0.5680,0.6012
GaussianNB,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler,0.5069,0.5584,0.5300,0.5839,0.4726,0.5202,0.4739,0.5213,0.5148,0.6065,0.5300,0.5839,0.5532,0.6094,0.5404,0.5953
GaussianNB,2 Classes IS vs W / Normal / StandardScaler / Unbalanced,0.5123,0.5591,0.5138,0.5616,0.4382,0.4866,0.4484,0.4963,0.5048,0.6075,0.5138,0.5616,0.5153,0.5641,0.5123,0.5606
GaussianNB,2 Classes IS vs W / Normal / StandardScaler / SMOTE,0.5041,0.5385,0.5423,0.5810,0.4742,0.5099,0.4698,0.5043,0.5310,0.5983,0.5423,0.5810,0.5806,0.6236,0.5602,0.6010
GaussianNB,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler,0.5055,0.5467,0.5332,0.5761,0.4656,0.5009,0.4634,0.4975,0.5169,0.5943,0.5332,0.5761,0.5610,0.6055,0.5457,0.5892
GaussianNB,2 Classes IS vs W / Normal / MinMaxScaler / Unbalanced,0.5123,0.5550,0.5138,0.5586,0.4382,0.4801,0.4484,0.4883,0.5048,0.6010,0.5138,0.5586,0.5153,0.5622,0.5123,0.5581
GaussianNB,2 Classes IS vs W / Normal / MinMaxScaler / SMOTE,0.4766,0.5254,0.5252,0.5769,0.4509,0.4995,0.4415,0.4898,0.5077,0.5905,0.5252,0.5769,0.5739,0.6283,0.5483,0.6013
GaussianNB,2 Classes IS vs W / Normal / MinMaxScaler / RandomOverSampler,0.5027,0.5457,0.5311,0.5757,0.4615,0.4987,0.4585,0.4947,0.5069,0.5955,0.5311,0.5757,0.5595,0.6058,0.5438,0.5891
GaussianNB,2 Classes IS vs W / Feature Engineering / No Scaler / Unbalanced,0.5453,0.5986,0.5292,0.5852,0.4909,0.5449,0.5163,0.5686,0.5505,0.6207,0.5292,0.5852,0.5131,0.5719,0.5197,0.5771
GaussianNB,2 Classes IS vs W / Feature Engineering / No Scaler / SMOTE,0.5247,0.5536,0.5542,0.5859,0.5008,0.5326,0.5024,0.5344,0.5506,0.5950,0.5542,0.5859,0.5836,0.6183,0.5680,0.6012
GaussianNB,2 Classes IS vs W / Feature Engineering / No Scaler / RandomOverSampler,0.5069,0.5584,0.5300,0.5839,0.4726,0.5202,0.4739,0.5213,0.5148,0.6065,0.5300,0.5839,0.5532,0.6094,0.5404,0.5953
GaussianNB,2 Classes IS vs W / Feature Engineering / StandardScaler / Unbalanced,0.5123,0.5591,0.5138,0.5616,0.4382,0.4866,0.4484,0.4963,0.5048,0.6075,0.5138,0.5616,0.5153,0.5641,0.5123,0.5606
GaussianNB,2 Classes IS vs W / Feature Engineering / StandardScaler / SMOTE,0.5041,0.5385,0.5423,0.5810,0.4742,0.5099,0.4698,0.5043,0.5310,0.5983,0.5423,0.5810,0.5806,0.6236,0.5602,0.6010
GaussianNB,2 Classes IS vs W / Feature Engineering / StandardScaler / RandomOverSampler,0.5055,0.5467,0.5332,0.5761,0.4656,0.5009,0.4634,0.4975,0.5169,0.5943,0.5332,0.5761,0.5610,0.6055,0.5457,0.5892
GaussianNB,2 Classes IS vs W / Feature Engineering / MinMaxScaler / Unbalanced,0.5123,0.5550,0.5138,0.5586,0.4382,0.4801,0.4484,0.4883,0.5048,0.6010,0.5138,0.5586,0.5153,0.5622,0.5123,0.5581
GaussianNB,2 Classes IS vs W / Feature Engineering / MinMaxScaler / SMOTE,0.4766,0.5254,0.5252,0.5769,0.4509,0.4995,0.4415,0.4898,0.5077,0.5905,0.5252,0.5769,0.5739,0.6283,0.5483,0.6013
GaussianNB,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler,0.5027,0.5457,0.5311,0.5757,0.4615,0.4987,0.4585,0.4947,0.5069,0.5955,0.5311,0.5757,0.5595,0.6058,0.5438,0.5891
GaussianNB,2 Classes S vs IW / Normal / No Scaler / Unbalanced,0.5123,0.5570,0.5007,0.5528,0.4295,0.4733,0.4940,0.5334,0.4894,0.5682,0.5007,0.5528,0.4892,0.5486,0.4892,0.5448
GaussianNB,2 Classes S vs IW / Normal / No Scaler / SMOTE,0.4122,0.4567,0.4865,0.5435,0.3951,0.4364,0.4195,0.4600,0.4821,0.5444,0.4865,0.5435,0.5608,0.6303,0.5211,0.5837
GaussianNB,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler,0.4438,0.5051,0.4888,0.5668,0.3941,0.4608,0.4312,0.4917,0.4829,0.5713,0.4888,0.5668,0.5339,0.6285,0.5066,0.5932
GaussianNB,2 Classes S vs IW / Normal / StandardScaler / Unbalanced,0.5027,0.5368,0.5074,0.5454,0.4147,0.4466,0.4678,0.4946,0.4934,0.5703,0.5074,0.5454,0.5121,0.5541,0.5028,0.5428
GaussianNB,2 Classes S vs IW / Normal / StandardScaler / SMOTE,0.4122,0.4485,0.5014,0.5455,0.3986,0.4314,0.4150,0.4496,0.4918,0.5466,0.5014,0.5455,0.5906,0.6425,0.5432,0.5907
GaussianNB,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler,0.4410,0.4935,0.4926,0.5614,0.3892,0.4462,0.4220,0.4708,0.4884,0.5683,0.4926,0.5614,0.5441,0.6293,0.5132,0.5904
GaussianNB,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced,0.4972,0.5351,0.5037,0.5452,0.4077,0.4440,0.4582,0.4906,0.4812,0.5732,0.5037,0.5452,0.5103,0.5554,0.4999,0.5432
GaussianNB,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE,0.3888,0.4275,0.4896,0.5395,0.3793,0.4165,0.3898,0.4271,0.4846,0.5414,0.4896,0.5395,0.5903,0.6515,0.5369,0.5921
GaussianNB,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler,0.4355,0.4907,0.4908,0.5600,0.3818,0.4426,0.4110,0.4657,0.4815,0.5671,0.4908,0.5600,0.5461,0.6294,0.5129,0.5896
GaussianNB,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced,0.5123,0.5570,0.5007,0.5528,0.4295,0.4733,0.4940,0.5334,0.4894,0.5682,0.5007,0.5528,0.4892,0.5486,0.4892,0.5448
GaussianNB,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE,0.4122,0.4567,0.4865,0.5435,0.3951,0.4364,0.4195,0.4600,0.4821,0.5444,0.4865,0.5435,0.5608,0.6303,0.5211,0.5837
GaussianNB,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler,0.4438,0.5051,0.4888,0.5668,0.3941,0.4608,0.4312,0.4917,0.4829,0.5713,0.4888,0.5668,0.5339,0.6285,0.5066,0.5932
GaussianNB,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced,0.5027,0.5368,0.5074,0.5454,0.4147,0.4466,0.4678,0.4946,0.4934,0.5703,0.5074,0.5454,0.5121,0.5541,0.5028,0.5428
GaussianNB,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE,0.4122,0.4485,0.5014,0.5455,0.3986,0.4314,0.4150,0.4496,0.4918,0.5466,0.5014,0.5455,0.5906,0.6425,0.5432,0.5907
GaussianNB,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler,0.4410,0.4935,0.4926,0.5614,0.3892,0.4462,0.4220,0.4708,0.4884,0.5683,0.4926,0.5614,0.5441,0.6293,0.5132,0.5904
GaussianNB,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced,0.4972,0.5351,0.5037,0.5452,0.4077,0.4440,0.4582,0.4906,0.4812,0.5732,0.5037,0.5452,0.5103,0.5554,0.4999,0.5432
GaussianNB,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE,0.3888,0.4275,0.4896,0.5395,0.3793,0.4165,0.3898,0.4271,0.4846,0.5414,0.4896,0.5395,0.5903,0.6515,0.5369,0.5921
GaussianNB,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler,0.4355,0.4907,0.4908,0.5600,0.3818,0.4426,0.4110,0.4657,0.4815,0.5671,0.4908,0.5600,0.5461,0.6294,0.5129,0.5896
GaussianNB,3 Classes / Normal / No Scaler / Unbalanced / Feature Selection,0.3928,0.4578,0.3655,0.4299,0.3238,0.3973,0.3421,0.4165,0.3734,0.4846,0.3655,0.4299,0.6611,0.6965,0.4915,0.5472
GaussianNB,3 Classes / Normal / StandardScaler / Unbalanced / Feature Selection,0.3763,0.4293,0.3528,0.4052,0.2857,0.3419,0.3000,0.3574,0.3364,0.4979,0.3528,0.4052,0.6571,0.6861,0.4812,0.5272
GaussianNB,3 Classes / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.3763,0.4241,0.3528,0.4009,0.2838,0.3333,0.2978,0.3472,0.3250,0.4996,0.3528,0.4009,0.6573,0.6830,0.4812,0.5232
GaussianNB,3 Classes / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.3928,0.4578,0.3655,0.4299,0.3238,0.3973,0.3421,0.4165,0.3734,0.4846,0.3655,0.4299,0.6611,0.6965,0.4915,0.5472
GaussianNB,3 Classes / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.3763,0.4293,0.3528,0.4052,0.2857,0.3419,0.3000,0.3574,0.3364,0.4979,0.3528,0.4052,0.6571,0.6861,0.4812,0.5272
GaussianNB,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.3763,0.4241,0.3528,0.4009,0.2838,0.3333,0.2978,0.3472,0.3250,0.4996,0.3528,0.4009,0.6573,0.6830,0.4812,0.5232
GaussianNB,2 Classes IS vs W / Normal / No Scaler / Unbalanced / Feature Selection,0.5480,0.6010,0.5305,0.5854,0.4907,0.5429,0.5175,0.5676,0.5530,0.6275,0.5305,0.5854,0.5130,0.5698,0.5202,0.5760
GaussianNB,2 Classes IS vs W / Normal / No Scaler / SMOTE / Feature Selection,0.5344,0.5776,0.5505,0.5997,0.5032,0.5505,0.5111,0.5565,0.5518,0.6173,0.5505,0.5997,0.5667,0.6218,0.5576,0.6098
GaussianNB,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler / Feature Selection,0.5110,0.5587,0.5299,0.5769,0.4681,0.5124,0.4700,0.5161,0.5140,0.6057,0.5299,0.5769,0.5487,0.5951,0.5378,0.5845
GaussianNB,2 Classes IS vs W / Normal / StandardScaler / Unbalanced / Feature Selection,0.5137,0.5598,0.5132,0.5602,0.4373,0.4817,0.4492,0.4919,0.5077,0.6107,0.5132,0.5602,0.5126,0.5606,0.5106,0.5580
GaussianNB,2 Classes IS vs W / Normal / StandardScaler / SMOTE / Feature Selection,0.5137,0.5309,0.5516,0.5751,0.4794,0.4995,0.4745,0.4918,0.5398,0.5847,0.5516,0.5751,0.5895,0.6194,0.5692,0.5959
GaussianNB,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.5110,0.5491,0.5324,0.5705,0.4648,0.4963,0.4648,0.4961,0.5165,0.5956,0.5324,0.5705,0.5539,0.5919,0.5416,0.5794
GaussianNB,2 Classes IS vs W / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.5123,0.5567,0.5121,0.5578,0.4352,0.4770,0.4466,0.4861,0.5030,0.6031,0.5121,0.5578,0.5119,0.5589,0.5096,0.5559
GaussianNB,2 Classes IS vs W / Normal / MinMaxScaler / SMOTE / Feature Selection,0.5082,0.5357,0.5482,0.5802,0.4740,0.5025,0.4675,0.4941,0.5296,0.5932,0.5482,0.5802,0.5881,0.6246,0.5668,0.6010
GaussianNB,2 Classes IS vs W / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.5082,0.5474,0.5303,0.5696,0.4606,0.4932,0.4597,0.4922,0.5064,0.5937,0.5303,0.5696,0.5523,0.5918,0.5397,0.5789
GaussianNB,2 Classes IS vs W / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.5480,0.6010,0.5305,0.5854,0.4907,0.5429,0.5175,0.5676,0.5530,0.6275,0.5305,0.5854,0.5130,0.5698,0.5202,0.5760
GaussianNB,2 Classes IS vs W / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.5344,0.5776,0.5505,0.5997,0.5032,0.5505,0.5111,0.5565,0.5518,0.6173,0.5505,0.5997,0.5667,0.6218,0.5576,0.6098
GaussianNB,2 Classes IS vs W / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.5110,0.5587,0.5299,0.5769,0.4681,0.5124,0.4700,0.5161,0.5140,0.6057,0.5299,0.5769,0.5487,0.5951,0.5378,0.5845
GaussianNB,2 Classes IS vs W / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.5137,0.5598,0.5132,0.5602,0.4373,0.4817,0.4492,0.4919,0.5077,0.6107,0.5132,0.5602,0.5126,0.5606,0.5106,0.5580
GaussianNB,2 Classes IS vs W / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.5137,0.5309,0.5516,0.5751,0.4794,0.4995,0.4745,0.4918,0.5398,0.5847,0.5516,0.5751,0.5895,0.6194,0.5692,0.5959
GaussianNB,2 Classes IS vs W / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.5110,0.5491,0.5324,0.5705,0.4648,0.4963,0.4648,0.4961,0.5165,0.5956,0.5324,0.5705,0.5539,0.5919,0.5416,0.5794
GaussianNB,2 Classes IS vs W / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.5123,0.5567,0.5121,0.5578,0.4352,0.4770,0.4466,0.4861,0.5030,0.6031,0.5121,0.5578,0.5119,0.5589,0.5096,0.5559
GaussianNB,2 Classes IS vs W / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.5082,0.5357,0.5482,0.5802,0.4740,0.5025,0.4675,0.4941,0.5296,0.5932,0.5482,0.5802,0.5881,0.6246,0.5668,0.6010
GaussianNB,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.5082,0.5474,0.5303,0.5696,0.4606,0.4932,0.4597,0.4922,0.5064,0.5937,0.5303,0.5696,0.5523,0.5918,0.5397,0.5789
GaussianNB,2 Classes S vs IW / Normal / No Scaler / Unbalanced / Feature Selection,0.5232,0.5560,0.5080,0.5479,0.4374,0.4658,0.5020,0.5268,0.4965,0.5656,0.5080,0.5479,0.4927,0.5399,0.4944,0.5374
GaussianNB,2 Classes S vs IW / Normal / No Scaler / SMOTE / Feature Selection,0.4246,0.4529,0.5078,0.5466,0.3982,0.4219,0.4165,0.4367,0.5031,0.5566,0.5078,0.5466,0.5910,0.6403,0.5456,0.5888
GaussianNB,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler / Feature Selection,0.4314,0.4935,0.4862,0.5656,0.3847,0.4515,0.4175,0.4773,0.4789,0.5674,0.4862,0.5656,0.5411,0.6377,0.5086,0.5970
GaussianNB,2 Classes S vs IW / Normal / StandardScaler / Unbalanced / Feature Selection,0.5122,0.5395,0.5137,0.5435,0.4203,0.4431,0.4728,0.4931,0.5001,0.5741,0.5137,0.5435,0.5152,0.5475,0.5073,0.5380
GaussianNB,2 Classes S vs IW / Normal / StandardScaler / SMOTE / Feature Selection,0.3874,0.4193,0.5017,0.5345,0.3742,0.4051,0.3769,0.4117,0.5019,0.5369,0.5017,0.5345,0.6160,0.6497,0.5549,0.5882
GaussianNB,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.4301,0.4866,0.4946,0.5638,0.3801,0.4422,0.4070,0.4634,0.4926,0.5698,0.4946,0.5638,0.5592,0.6411,0.5213,0.5974
GaussianNB,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.5122,0.5368,0.5174,0.5417,0.4191,0.4395,0.4694,0.4882,0.5036,0.5716,0.5174,0.5417,0.5226,0.5466,0.5126,0.5366
GaussianNB,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE / Feature Selection,0.3901,0.4189,0.4960,0.5315,0.3770,0.4052,0.3845,0.4134,0.4935,0.5349,0.4960,0.5315,0.6019,0.6440,0.5454,0.5840
GaussianNB,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.4259,0.4835,0.4938,0.5622,0.3743,0.4381,0.3981,0.4576,0.4874,0.5676,0.4938,0.5622,0.5616,0.6410,0.5218,0.5964
GaussianNB,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.5232,0.5560,0.5080,0.5479,0.4374,0.4658,0.5020,0.5268,0.4965,0.5656,0.5080,0.5479,0.4927,0.5399,0.4944,0.5374
GaussianNB,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.4246,0.4529,0.5078,0.5466,0.3982,0.4219,0.4165,0.4367,0.5031,0.5566,0.5078,0.5466,0.5910,0.6403,0.5456,0.5888
GaussianNB,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.4314,0.4935,0.4862,0.5656,0.3847,0.4515,0.4175,0.4773,0.4789,0.5674,0.4862,0.5656,0.5411,0.6377,0.5086,0.5970
GaussianNB,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.5122,0.5395,0.5137,0.5435,0.4203,0.4431,0.4728,0.4931,0.5001,0.5741,0.5137,0.5435,0.5152,0.5475,0.5073,0.5380
GaussianNB,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.3874,0.4193,0.5017,0.5345,0.3742,0.4051,0.3769,0.4117,0.5019,0.5369,0.5017,0.5345,0.6160,0.6497,0.5549,0.5882
GaussianNB,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.4301,0.4866,0.4946,0.5638,0.3801,0.4422,0.4070,0.4634,0.4926,0.5698,0.4946,0.5638,0.5592,0.6411,0.5213,0.5974
GaussianNB,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.5122,0.5368,0.5174,0.5417,0.4191,0.4395,0.4694,0.4882,0.5036,0.5716,0.5174,0.5417,0.5226,0.5466,0.5126,0.5366
GaussianNB,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.3901,0.4189,0.4960,0.5315,0.3770,0.4052,0.3845,0.4134,0.4935,0.5349,0.4960,0.5315,0.6019,0.6440,0.5454,0.5840
GaussianNB,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.4259,0.4835,0.4938,0.5622,0.3743,0.4381,0.3981,0.4576,0.4874,0.5676,0.4938,0.5622,0.5616,0.6410,0.5218,0.5964
DecisionTreeClassifier,3 Classes / Normal / No Scaler / Unbalanced,0.4204,0.6319,0.3896,0.6022,0.3776,0.6035,0.4008,0.6192,0.3924,0.6574,0.3896,0.6022,0.6768,0.7866,0.5130,0.6882
DecisionTreeClassifier,3 Classes / Normal / StandardScaler / Unbalanced,0.4204,0.6319,0.3896,0.6022,0.3776,0.6035,0.4008,0.6192,0.3924,0.6574,0.3896,0.6022,0.6768,0.7866,0.5130,0.6882
DecisionTreeClassifier,3 Classes / Normal / MinMaxScaler / Unbalanced,0.4204,0.6319,0.3896,0.6022,0.3776,0.6035,0.4008,0.6192,0.3924,0.6574,0.3896,0.6022,0.6768,0.7866,0.5130,0.6882
DecisionTreeClassifier,3 Classes / Feature Engineering / No Scaler / Unbalanced,0.4204,0.6319,0.3896,0.6022,0.3776,0.6035,0.4008,0.6192,0.3924,0.6574,0.3896,0.6022,0.6768,0.7866,0.5130,0.6882
DecisionTreeClassifier,3 Classes / Feature Engineering / StandardScaler / Unbalanced,0.4204,0.6319,0.3896,0.6022,0.3776,0.6035,0.4008,0.6192,0.3924,0.6574,0.3896,0.6022,0.6768,0.7866,0.5130,0.6882
DecisionTreeClassifier,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced,0.4204,0.6319,0.3896,0.6022,0.3776,0.6035,0.4008,0.6192,0.3924,0.6574,0.3896,0.6022,0.6768,0.7866,0.5130,0.6882
DecisionTreeClassifier,2 Classes IS vs W / Normal / No Scaler / Unbalanced,0.6524,0.7720,0.5749,0.7006,0.5705,0.7131,0.6238,0.7502,0.6118,0.7971,0.5749,0.7006,0.4975,0.6293,0.5348,0.6640
DecisionTreeClassifier,2 Classes IS vs W / Normal / No Scaler / SMOTE,0.5577,0.7091,0.5593,0.7131,0.5429,0.6948,0.5626,0.7116,0.5570,0.7045,0.5593,0.7131,0.5609,0.7171,0.5599,0.7149
DecisionTreeClassifier,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler,0.5630,0.7174,0.5549,0.7185,0.5392,0.6979,0.5620,0.7134,0.5643,0.7341,0.5549,0.7185,0.5468,0.7196,0.5505,0.7186
DecisionTreeClassifier,2 Classes IS vs W / Normal / StandardScaler / Unbalanced,0.6524,0.7720,0.5749,0.7006,0.5705,0.7131,0.6238,0.7502,0.6118,0.7971,0.5749,0.7006,0.4975,0.6293,0.5348,0.6640
DecisionTreeClassifier,2 Classes IS vs W / Normal / StandardScaler / SMOTE,0.5536,0.7157,0.5622,0.7338,0.5414,0.7079,0.5580,0.7189,0.5594,0.7248,0.5622,0.7338,0.5708,0.7519,0.5663,0.7426
DecisionTreeClassifier,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler,0.5630,0.7174,0.5549,0.7185,0.5392,0.6979,0.5620,0.7134,0.5643,0.7341,0.5549,0.7185,0.5468,0.7196,0.5505,0.7186
