Model,Parameters,test_acc,train_acc,test_bal_acc,train_bal_acc,test_f1_macro,train_f1_macro,test_f1_weighted,train_f1_weighted,test_prec_macro,train_prec_macro,test_rec_macro,train_rec_macro,test_specificity_weighted,train_specificity_weighted,test_g_mean,train_g_mean
LogisticRegression,2 Classes S vs IW / Normal / No Scaler / SMOTE,0.5755,0.6518,0.5408,0.6381,0.5179,0.6033,0.6011,0.6734,0.5316,0.6069,0.5408,0.6381,0.5061,0.6245,0.5229,0.6313
LogisticRegression,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler,0.5686,0.6432,0.5269,0.6245,0.5078,0.5925,0.5938,0.6651,0.5216,0.5966,0.5269,0.6245,0.4852,0.6058,0.5054,0.6151
LogisticRegression,2 Classes S vs IW / Normal / StandardScaler / Unbalanced,0.7266,0.7589,0.4994,0.5386,0.4606,0.5156,0.6520,0.6891,0.5014,0.6598,0.4994,0.5386,0.2723,0.3183,0.3687,0.4139
LogisticRegression,2 Classes S vs IW / Normal / StandardScaler / SMOTE,0.5549,0.6497,0.5290,0.6377,0.5020,0.6020,0.5823,0.6716,0.5218,0.6063,0.5290,0.6377,0.5031,0.6257,0.5154,0.6316
LogisticRegression,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler,0.5741,0.6429,0.5343,0.6233,0.5142,0.5918,0.5989,0.6647,0.5274,0.5958,0.5343,0.6233,0.4945,0.6038,0.5138,0.6135
LogisticRegression,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced,0.7362,0.7548,0.4946,0.5126,0.4390,0.4607,0.6454,0.6620,0.4836,0.6517,0.4946,0.5126,0.2530,0.2703,0.3537,0.3722
LogisticRegression,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE,0.5495,0.6425,0.5291,0.6338,0.4993,0.5965,0.5776,0.6653,0.5215,0.6027,0.5291,0.6338,0.5087,0.6252,0.5182,0.6295
LogisticRegression,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler,0.5713,0.6398,0.5399,0.6250,0.5165,0.5910,0.5978,0.6623,0.5314,0.5964,0.5399,0.6250,0.5085,0.6103,0.5238,0.6176
LogisticRegression,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced,0.7280,0.7579,0.5041,0.5384,0.4691,0.5157,0.6564,0.6888,0.5184,0.6513,0.5041,0.5384,0.2802,0.3189,0.3756,0.4142
LogisticRegression,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE,0.5755,0.6518,0.5408,0.6381,0.5179,0.6033,0.6011,0.6734,0.5316,0.6069,0.5408,0.6381,0.5061,0.6245,0.5229,0.6313
LogisticRegression,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler,0.5686,0.6432,0.5269,0.6245,0.5078,0.5925,0.5938,0.6651,0.5216,0.5966,0.5269,0.6245,0.4852,0.6058,0.5054,0.6151
LogisticRegression,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced,0.7266,0.7589,0.4994,0.5386,0.4606,0.5156,0.6520,0.6891,0.5014,0.6598,0.4994,0.5386,0.2723,0.3183,0.3687,0.4139
LogisticRegression,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE,0.5549,0.6497,0.5290,0.6377,0.5020,0.6020,0.5823,0.6716,0.5218,0.6063,0.5290,0.6377,0.5031,0.6257,0.5154,0.6316
LogisticRegression,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler,0.5741,0.6429,0.5343,0.6233,0.5142,0.5918,0.5989,0.6647,0.5274,0.5958,0.5343,0.6233,0.4945,0.6038,0.5138,0.6135
LogisticRegression,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced,0.7362,0.7548,0.4946,0.5126,0.4390,0.4607,0.6454,0.6620,0.4836,0.6517,0.4946,0.5126,0.2530,0.2703,0.3537,0.3722
LogisticRegression,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE,0.5495,0.6425,0.5291,0.6338,0.4993,0.5965,0.5776,0.6653,0.5215,0.6027,0.5291,0.6338,0.5087,0.6252,0.5182,0.6295
LogisticRegression,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler,0.5713,0.6398,0.5399,0.6250,0.5165,0.5910,0.5978,0.6623,0.5314,0.5964,0.5399,0.6250,0.5085,0.6103,0.5238,0.6176
LogisticRegression,3 Classes / Normal / No Scaler / Unbalanced / Feature Selection,0.4382,0.5182,0.4025,0.4855,0.3879,0.4818,0.4159,0.5026,0.3974,0.5112,0.4025,0.4855,0.6831,0.7222,0.5242,0.5921
LogisticRegression,3 Classes / Normal / StandardScaler / Unbalanced / Feature Selection,0.4368,0.5206,0.4009,0.4871,0.3861,0.4832,0.4146,0.5044,0.3947,0.5138,0.4009,0.4871,0.6823,0.7231,0.5228,0.5934
LogisticRegression,3 Classes / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.4450,0.5182,0.4035,0.4783,0.3825,0.4672,0.4149,0.4936,0.3950,0.5119,0.4035,0.4783,0.6807,0.7173,0.5240,0.5857
LogisticRegression,3 Classes / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.4382,0.5182,0.4025,0.4855,0.3879,0.4818,0.4159,0.5026,0.3974,0.5112,0.4025,0.4855,0.6831,0.7222,0.5242,0.5921
LogisticRegression,3 Classes / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.4368,0.5206,0.4009,0.4871,0.3861,0.4832,0.4146,0.5044,0.3947,0.5138,0.4009,0.4871,0.6823,0.7231,0.5228,0.5934
LogisticRegression,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.4450,0.5182,0.4035,0.4783,0.3825,0.4672,0.4149,0.4936,0.3950,0.5119,0.4035,0.4783,0.6807,0.7173,0.5240,0.5857
LogisticRegression,2 Classes IS vs W / Normal / No Scaler / Unbalanced / Feature Selection,0.6510,0.6882,0.5722,0.6173,0.5662,0.6196,0.6207,0.6657,0.6047,0.6580,0.5722,0.6173,0.4934,0.5464,0.5313,0.5808
LogisticRegression,2 Classes IS vs W / Normal / No Scaler / SMOTE / Feature Selection,0.6209,0.6566,0.6094,0.6496,0.6024,0.6407,0.6266,0.6623,0.6036,0.6400,0.6094,0.6496,0.5980,0.6426,0.6037,0.6460
LogisticRegression,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler / Feature Selection,0.6084,0.6628,0.5972,0.6578,0.5896,0.6479,0.6140,0.6686,0.5923,0.6473,0.5972,0.6578,0.5860,0.6528,0.5915,0.6553
LogisticRegression,2 Classes IS vs W / Normal / StandardScaler / Unbalanced / Feature Selection,0.6538,0.6882,0.5769,0.6167,0.5725,0.6187,0.6255,0.6652,0.6106,0.6581,0.5769,0.6167,0.5000,0.5451,0.5371,0.5798
LogisticRegression,2 Classes IS vs W / Normal / StandardScaler / SMOTE / Feature Selection,0.6291,0.6648,0.6209,0.6555,0.6121,0.6477,0.6347,0.6698,0.6142,0.6466,0.6209,0.6555,0.6128,0.6463,0.6168,0.6509
LogisticRegression,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.6180,0.6617,0.6081,0.6574,0.5998,0.6472,0.6235,0.6676,0.6025,0.6468,0.6081,0.6574,0.5982,0.6531,0.6031,0.6553
LogisticRegression,2 Classes IS vs W / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.6538,0.6841,0.5624,0.5968,0.5492,0.5910,0.6110,0.6467,0.6189,0.6612,0.5624,0.5968,0.4709,0.5095,0.5146,0.5514
LogisticRegression,2 Classes IS vs W / Normal / MinMaxScaler / SMOTE / Feature Selection,0.6126,0.6683,0.6022,0.6591,0.5949,0.6512,0.6186,0.6731,0.5972,0.6499,0.6022,0.6591,0.5917,0.6499,0.5969,0.6545
LogisticRegression,2 Classes IS vs W / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.6057,0.6679,0.5925,0.6603,0.5854,0.6517,0.6104,0.6731,0.5890,0.6504,0.5925,0.6603,0.5793,0.6527,0.5858,0.6565
LogisticRegression,2 Classes IS vs W / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.6510,0.6882,0.5722,0.6173,0.5662,0.6196,0.6207,0.6657,0.6047,0.6580,0.5722,0.6173,0.4934,0.5464,0.5313,0.5808
LogisticRegression,2 Classes IS vs W / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.6209,0.6566,0.6094,0.6496,0.6024,0.6407,0.6266,0.6623,0.6036,0.6400,0.6094,0.6496,0.5980,0.6426,0.6037,0.6460
LogisticRegression,2 Classes IS vs W / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.6084,0.6628,0.5972,0.6578,0.5896,0.6479,0.6140,0.6686,0.5923,0.6473,0.5972,0.6578,0.5860,0.6528,0.5915,0.6553
LogisticRegression,2 Classes IS vs W / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.6538,0.6882,0.5769,0.6167,0.5725,0.6187,0.6255,0.6652,0.6106,0.6581,0.5769,0.6167,0.5000,0.5451,0.5371,0.5798
LogisticRegression,2 Classes IS vs W / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.6291,0.6648,0.6209,0.6555,0.6121,0.6477,0.6347,0.6698,0.6142,0.6466,0.6209,0.6555,0.6128,0.6463,0.6168,0.6509
LogisticRegression,2 Classes IS vs W / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.6180,0.6617,0.6081,0.6574,0.5998,0.6472,0.6235,0.6676,0.6025,0.6468,0.6081,0.6574,0.5982,0.6531,0.6031,0.6553
LogisticRegression,2 Classes IS vs W / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.6538,0.6841,0.5624,0.5968,0.5492,0.5910,0.6110,0.6467,0.6189,0.6612,0.5624,0.5968,0.4709,0.5095,0.5146,0.5514
LogisticRegression,2 Classes IS vs W / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.6126,0.6683,0.6022,0.6591,0.5949,0.6512,0.6186,0.6731,0.5972,0.6499,0.6022,0.6591,0.5917,0.6499,0.5969,0.6545
LogisticRegression,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.6057,0.6679,0.5925,0.6603,0.5854,0.6517,0.6104,0.6731,0.5890,0.6504,0.5925,0.6603,0.5793,0.6527,0.5858,0.6565
LogisticRegression,2 Classes S vs IW / Normal / No Scaler / Unbalanced / Feature Selection,0.7403,0.7555,0.5086,0.5307,0.4666,0.5022,0.6597,0.6817,0.5518,0.6474,0.5086,0.5307,0.2768,0.3060,0.3750,0.4029
LogisticRegression,2 Classes S vs IW / Normal / No Scaler / SMOTE / Feature Selection,0.5727,0.6305,0.5539,0.6231,0.5242,0.5855,0.5997,0.6545,0.5417,0.5940,0.5539,0.6231,0.5351,0.6156,0.5442,0.6193
LogisticRegression,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler / Feature Selection,0.5672,0.6305,0.5521,0.6100,0.5208,0.5793,0.5953,0.6534,0.5397,0.5851,0.5521,0.6100,0.5370,0.5895,0.5443,0.5997
LogisticRegression,2 Classes S vs IW / Normal / StandardScaler / Unbalanced / Feature Selection,0.7403,0.7548,0.5086,0.5289,0.4666,0.4988,0.6597,0.6799,0.5518,0.6423,0.5086,0.5289,0.2768,0.3030,0.3750,0.4002
LogisticRegression,2 Classes S vs IW / Normal / StandardScaler / SMOTE / Feature Selection,0.5686,0.6325,0.5437,0.6216,0.5175,0.5859,0.5960,0.6561,0.5338,0.5932,0.5437,0.6216,0.5188,0.6107,0.5310,0.6161
LogisticRegression,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.5658,0.6322,0.5475,0.6130,0.5181,0.5816,0.5940,0.6551,0.5362,0.5874,0.5475,0.6130,0.5291,0.5938,0.5381,0.6033
LogisticRegression,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.7404,0.7545,0.4974,0.5119,0.4399,0.4592,0.6472,0.6612,0.4492,0.6392,0.4974,0.5119,0.2544,0.2693,0.3556,0.3712
LogisticRegression,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE / Feature Selection,0.5590,0.6346,0.5504,0.6253,0.5158,0.5886,0.5877,0.6581,0.5383,0.5959,0.5504,0.6253,0.5417,0.6160,0.5458,0.6207
