iter	Passed	Remaining
455	363	1229
456	363	1228
457	364	1227
458	365	1227
459	366	1226
460	366	1225
461	367	1224
462	368	1222
463	369	1222
464	369	1220
465	370	1220
466	371	1219
467	372	1218
468	372	1217
469	373	1216
470	374	1215
471	375	1214
472	375	1213
473	376	1212
474	377	1212
475	378	1211
476	379	1210
477	379	1209
478	380	1208
479	381	1207
480	382	1206
481	383	1206
482	383	1205
483	384	1204
484	385	1203
485	386	1202
486	386	1201
487	387	1201
488	388	1199
489	389	1199
490	389	1198
491	390	1197
492	391	1196
493	392	1195
494	392	1194
495	393	1193
496	394	1193
497	395	1192
498	396	1191
499	396	1190
500	397	1189
501	398	1188
502	399	1187
503	399	1186
504	400	1186
505	401	1185
506	402	1184
507	402	1183
508	403	1183
509	404	1182
510	405	1181
511	406	1180
512	407	1179
513	407	1179
514	408	1178
515	409	1177
516	410	1176
517	410	1175
518	411	1174
519	412	1174
520	413	1173
521	414	1172
522	414	1171
523	415	1170
524	416	1169
525	416	1168
526	417	1167
527	418	1166
528	419	1165
529	420	1164
530	420	1164
531	421	1163
532	422	1162
533	423	1161
534	423	1160
535	424	1159
536	425	1159
537	426	1158
538	426	1157
539	427	1156
540	428	1155
541	429	1154
542	429	1153
543	430	1152
544	431	1151
545	432	1150
546	432	1149
547	433	1148
548	434	1148
549	435	1147
550	436	1146
551	436	1146
552	437	1145
553	438	1144
554	439	1144
555	440	1143
556	441	1143
557	442	1142
558	442	1141
559	443	1140
560	444	1139
561	445	1138
562	445	1138
563	446	1137
564	447	1137
565	448	1136
566	449	1135
567	450	1134
568	450	1133
569	451	1132
570	452	1131
571	453	1130
572	453	1130
573	454	1129
574	455	1128
575	456	1128
576	457	1127
577	457	1126
578	458	1125
579	459	1124
580	460	1124
581	461	1123
582	461	1122
583	462	1122
584	463	1121
585	464	1121
586	465	1120
587	466	1119
588	467	1119
589	468	1118
590	468	1117
591	469	1116
592	470	1115
593	471	1115
594	471	1114
595	472	1113
596	473	1112
597	474	1111
598	474	1110
599	475	1109
600	476	1109
601	477	1108
602	478	1107
603	479	1107
604	480	1106
605	480	1106
606	481	1105
607	482	1104
608	483	1104
609	484	1103
610	484	1102
611	485	1101
612	486	1100
613	487	1099
614	487	1098
615	488	1098
616	489	1097
617	490	1096
618	491	1095
619	491	1094
620	492	1094
621	493	1093
622	494	1092
623	495	1091
624	495	1090
625	496	1089
626	497	1089
627	498	1088
628	498	1087
629	499	1086
630	500	1085
631	501	1084
632	501	1083
633	502	1082
634	503	1081
635	504	1081
636	504	1080
637	505	1079
638	506	1078
639	507	1077
640	507	1076
641	508	1075
642	509	1074
643	509	1073
644	510	1072
645	511	1071
646	512	1070
647	512	1069
648	513	1069
649	514	1068
650	515	1067
651	515	1066
652	516	1065
653	517	1064
654	518	1064
655	518	1063
656	519	1062
657	520	1061
658	521	1060
659	522	1059
660	522	1059
661	523	1058
662	524	1057
663	525	1056
664	525	1055
665	526	1054
666	527	1053
667	527	1052
668	528	1051
669	529	1050
670	530	1050
671	530	1049
672	531	1048
673	532	1047
674	533	1046
675	534	1045
676	534	1045
677	535	1044
678	536	1043
679	537	1042
680	537	1041
681	538	1040
682	539	1039
683	540	1039
684	540	1038
685	541	1037
686	542	1036
687	543	1035
688	543	1034
689	544	1034
690	545	1033
691	546	1032
692	546	1031
693	547	1030
694	548	1029
695	549	1028
696	549	1027
697	550	1027
698	551	1026
699	552	1025
700	553	1025
701	553	1024
702	554	1023
703	555	1022
704	556	1021
705	556	1020
706	557	1019
707	558	1018
708	559	1018
709	559	1017
710	560	1016
711	561	1015
712	562	1015
713	563	1015
714	564	1014
715	565	1013
716	566	1012
717	566	1012
718	567	1011
719	568	1010
720	569	1009
721	570	1009
722	571	1008
723	572	1008
724	573	1008
725	574	1007
726	575	1007
727	576	1006
728	577	1006
729	577	1005
730	578	1004
731	579	1003
732	580	1003
733	581	1002
734	582	1001
735	582	1000
736	583	1000
737	584	999
738	585	998
739	586	997
740	586	997
741	587	996
742	588	996
743	589	995
744	590	994
745	591	994
746	592	993
747	593	992
748	593	991
749	594	990
750	595	989
751	595	988
752	596	987
753	597	986
754	598	986
755	598	985
756	599	984
757	600	983
758	601	982
759	601	981
760	602	981
761	603	980
762	604	979
763	605	979
764	605	978
765	606	977
766	607	976
767	608	975
768	608	974
769	609	974
770	610	973
771	611	972
772	612	971
773	612	970
774	613	969
775	614	968
776	615	968
777	616	967
778	616	966
779	617	965
780	618	965
781	619	964
782	619	963
783	620	962
784	621	961
785	622	960
786	622	959
787	623	959
788	624	958
789	625	957
790	625	956
791	626	955
792	627	954
793	628	953
794	628	953
795	629	952
796	630	951
797	631	950
798	632	949
799	632	949
800	633	948
801	634	947
802	634	946
803	635	945
804	636	944
805	637	943
806	637	942
807	638	942
808	639	941
809	639	940
810	640	939
811	641	938
812	642	938
813	643	937
814	643	936
815	644	935
816	645	934
817	646	933
818	646	932
819	650	936
820	651	935
821	652	935
822	653	934
823	654	933
824	655	933
825	656	932
826	657	932
827	658	932
828	659	931
829	660	931
830	661	930
831	662	929
832	663	928
833	663	928
834	664	927
835	665	926
